F3_Col1,F3_Col2,F4_Col1,F4_Col2,C3_Col1,C3_Col2,C4_Col1,C4_Col2,P3_Col1,P3_Col2,P4_Col1,P4_Col2,O1_Col1,O1_Col2,O2_Col1,O2_Col2,F8_Col1,F8_Col2,T8_Col1,T8_Col2,P7_Col1,P7_Col2,P8_Col1,P8_Col2,Fz_Col1,Fz_Col2,Cz_Col1,Cz_Col2,Pz_Col1,Pz_Col2
-65.0617141723633,-146.989715576172,-44.988883972168,-126.874893188477,-71.1242828369141,-179.435806274414,14.6112728118896,-193.561828613281,-123.164848327637,-238.619567871094,18.0092220306396,-221.969985961914,-187.866989135742,-139.852676391602,-85.7285614013672,-247.07991027832,-29.8993263244629,78.0210418701172,19.89235496521,-44.795597076416,-280.925323486328,-117.637580871582,32.3726577758789,-55.4715385437012,-91.9519805908203,-107.395446777344,-47.0534782409668,-212.162124633789,-58.5858688354492,-196.915664672852
-76.248161315918,-73.3211822509766,-64.2170333862305,-64.2025756835938,-126.376411437988,-152.678939819336,-45.639289855957,-144.623107910156,-232.681365966797,-199.330795288086,-6.25076627731323,-158.116607666016,-299.289978027344,-121.986991882324,-107.593948364258,-155.966949462891,-41.0427398681641,48.8026123046875,-9.78345108032227,-4.78769588470459,-293.162048339844,-175.335632324219,2.05787301063538,-52.7558670043945,-89.7565002441406,-13.791332244873,-68.0080871582031,-84.7321472167969,-117.924385070801,-109.694396972656
-116.414283752441,-8.03413105010986,-64.6341247558594,10.7117013931274,-173.368530273438,-63.7307815551758,-86.0399703979492,-58.6465759277344,-232.102737426758,-99.1355438232422,-15.0005207061768,-38.5639038085938,-247.345474243164,-79.646240234375,-56.663761138916,-81.5408020019531,-39.3764038085938,38.2623558044434,-66.9348678588867,28.1598720550537,-203.112487792969,-141.0732421875,1.49928867816925,-36.7689208984375,-168.259674072266,41.9868011474609,-70.671501159668,-14.5552787780762,-114.542854309082,9.32841300964355
-182.023620605469,43.2316589355469,-73.1744918823242,9.79538822174072,-173.365341186523,9.65672779083252,-68.8095092773438,-17.9277458190918,-114.293342590332,-25.955696105957,23.3223304748535,12.0729932785034,-82.8347930908203,-35.028247833252,48.1258773803711,-45.3977317810059,-11.8447713851929,44.5962219238281,-92.4051742553711,54.0403900146484,-96.1738739013672,-76.2830657958984,50.5275039672852,-2.70286321640015,-233.540176391602,53.1550025939941,-35.2921562194824,-22.5475578308105,-63.3958892822266,70.4288177490234
-195.880233764648,34.2996101379395,-83.245246887207,-40.9020156860352,-147.964782714844,19.7036991119385,-26.818380355835,-19.0672206878662,-43.9893760681152,-15.0481719970703,46.5815620422363,0.660902500152588,-32.5032234191895,-64.6570816040039,75.5886459350586,-36.8188171386719,-19.4417495727539,-6.96716737747192,-73.9911499023438,35.4075546264648,-44.1439170837402,-45.6240043640137,89.6980285644531,22.205602645874,-208.683715820312,23.1211948394775,24.8135242462158,-23.3209972381592,-35.0067596435547,81.2034912109375
-143.259658813477,-31.8746700286865,-71.5135955810547,-93.5097045898438,-111.795936584473,-6.93235015869141,-4.90310001373291,-40.0465126037598,-41.3827247619629,-39.0096664428711,46.1323318481445,-0.451223820447922,-62.1933670043945,-73.1441345214844,30.3634014129639,-32.1091918945312,-57.693431854248,-88.7098159790039,-38.6318778991699,-57.2550849914551,-6.05623531341553,6.97440814971924,89.2915954589844,40.7687377929688,-152.986267089844,-60.3977661132812,35.1027565002441,-20.9178924560547,-30.6575489044189,73.4954376220703
-94.4391326904297,-92.2979965209961,-44.7868766784668,-133.303131103516,-64.3422775268555,-38.8808784484863,2.89745306968689,-47.2977600097656,-46.9779586791992,-42.5918617248535,64.9025039672852,16.5319194793701,-33.5405960083008,11.9545640945435,38.1707000732422,1.29209232330322,-20.186466217041,-129.932556152344,1.90533483028412,-112.362258911133,13.0188512802124,63.9399833679199,89.3205718994141,81.1939926147461,-100.309356689453,-145.193771362305,23.5632877349854,-35.4585800170898,-17.84694480896,25.5517482757568
-77.0583190917969,-161.965530395508,-9.73671817779541,-160.490631103516,-45.9954872131348,-67.0992050170898,14.0662641525269,-46.9186973571777,-74.8708801269531,-40.1309661865234,64.414665222168,8.14836692810059,-31.5372829437256,54.0086288452148,72.3224792480469,0.374227195978165,55.1723937988281,-136.011810302734,45.7148132324219,-112.750137329102,-35.6283683776855,55.4680252075195,90.6793746948242,75.6120376586914,-68.1474685668945,-189.565170288086,14.0475749969482,-52.5981597900391,-25.6454486846924,-42.5893402099609
-111.91455078125,-233.82487487793,-11.8096466064453,-172.578308105469,-81.6255340576172,-99.7947692871094,-17.5551891326904,-69.5265579223633,-127.702896118164,-78.1501007080078,-15.4301090240479,-36.1637191772461,-114.513404846191,11.2635917663574,-28.9011535644531,-41.3546905517578,73.5361251831055,-123.04264831543,41.0556106567383,-139.298522949219,-76.2837600708008,26.9857234954834,45.647087097168,4.12166833877563,-101.661804199219,-220.847396850586,-80.0661087036133,-70.6229476928711,-92.4474487304688,-64.0133438110352
-166.800109863281,-250.668731689453,-84.2267990112305,-167.138320922852,-140.797897338867,-130.721618652344,-122.737548828125,-77.6298522949219,-193.303176879883,-88.3420715332031,-148.55029296875,-64.6483306884766,-159.656051635742,-9.67757606506348,-208.706848144531,-29.8492221832275,76.0605545043945,-94.1291885375977,-22.9461288452148,-139.915496826172,-73.0128555297852,25.0334281921387,-24.2089748382568,-27.1405143737793,-148.06413269043,-222.285903930664,-216.166290283203,-69.0563354492188,-179.143005371094,-34.1606674194336
