Fp1_Col1,Fp1_Col2,Fp2_Col1,Fp2_Col2,F3_Col1,F3_Col2,F4_Col1,F4_Col2,C3_Col1,C3_Col2,C4_Col1,C4_Col2,P3_Col1,P3_Col2,P4_Col1,P4_Col2,O1_Col1,O1_Col2,O2_Col1,O2_Col2,F7_Col1,F7_Col2,F8_Col1,F8_Col2,T7_Col1,T7_Col2,P7_Col1,P7_Col2,P8_Col1,P8_Col2,Cz_Col1,Cz_Col2
-39.6567687988281,-66.7999420166016,79.0831909179688,-34.8498153686523,-103.781402587891,-0.616033971309662,-133.431854248047,-82.0612564086914,-120.59489440918,-22.711877822876,-38.1381225585938,-29.8055019378662,-123.189437866211,-47.5843887329102,-35.4833221435547,20.4929389953613,97.6217880249023,3.39023804664612,9.33575057983398,39.3620834350586,-59.527774810791,-42.4339332580566,6.35981607437134,33.9582710266113,-150.383163452148,-130.872329711914,64.4962463378906,-26.7776737213135,-13.202733039856,127.025215148926,-109.577323913574,-13.6152153015137
-75.0146102905273,-31.3992691040039,46.3521881103516,-37.4839859008789,-141.698867797852,-25.9940567016602,-133.541351318359,-74.8865280151367,-146.459518432617,-33.2792129516602,-30.2802143096924,-29.5336227416992,-95.3636474609375,36.3282203674316,-5.26879119873047,30.9801540374756,157.894821166992,51.5804405212402,20.0929565429688,46.4260787963867,-22.1855392456055,4.38948535919189,-15.0545387268066,53.4402770996094,-179.427062988281,-107.357086181641,111.707298278809,48.6920738220215,4.11079359054565,139.030258178711,-105.889724731445,-32.9452934265137
-87.7063064575195,-8.26537132263184,-9.57247257232666,-12.8770904541016,-142.236465454102,-45.5327224731445,-124.361396789551,-64.3728942871094,-134.13493347168,-26.7539520263672,-35.5241355895996,-45.6642875671387,-63.4522247314453,93.4909362792969,14.6230325698853,21.8268013000488,127.582130432129,100.448883056641,15.842978477478,28.506950378418,-0.744345784187317,35.8119773864746,-25.8207836151123,105.614196777344,-188.294586181641,-76.7302322387695,107.028579711914,55.6254119873047,45.6430397033691,103.987480163574,-78.9264755249023,-35.2590751647949
-78.3416519165039,21.3396663665771,-50.8923034667969,-6.12850332260132,-102.12523651123,-30.8351268768311,-114.076591491699,-88.3469619750977,-80.3210983276367,-40.5227851867676,-50.7950401306152,-56.6847457885742,-40.5100326538086,93.8367767333984,30.5759468078613,7.8703670501709,22.2512741088867,103.294692993164,0.561485230922699,29.2308559417725,-28.1672859191895,65.344482421875,-11.4469785690308,119.03816986084,-179.639678955078,-46.6294136047363,31.887264251709,52.4697151184082,75.9863739013672,119.475204467773,-36.7532272338867,-43.1595230102539
-100.041664123535,37.1504592895508,-79.0166778564453,-46.4039459228516,-67.4015960693359,-45.7282104492188,-111.527847290039,-113.486312866211,-54.2627868652344,-65.5282592773438,-44.6617317199707,-41.5119323730469,-21.3852615356445,81.3841857910156,37.0874290466309,16.5976734161377,1.73817014694214,149.180740356445,21.0939426422119,84.7169189453125,-68.0597534179688,58.2754135131836,-21.4055004119873,81.8302841186523,-152.011642456055,-11.1529216766357,-17.2223834991455,127.828491210938,120.933059692383,212.906433105469,-44.3495140075684,-86.3427886962891
-150.4384765625,-5.06371831893921,-116.252922058105,-82.7425155639648,-59.9136734008789,-121.434669494629,-103.969848632812,-127.643882751465,-35.5076904296875,-113.073471069336,-17.6251258850098,-41.4502830505371,8.50135517120361,76.3823318481445,32.9698371887207,16.0863132476807,83.4509735107422,205.471267700195,65.4887466430664,125.765808105469,-142.78010559082,35.025074005127,-60.2365226745605,48.1259346008301,-120.116546630859,14.7563209533691,-17.7880554199219,212.670593261719,127.635368347168,230.891906738281,-48.956111907959,-103.864097595215
-167.294494628906,-51.6194114685059,-122.17423248291,-71.7383193969727,-59.7862129211426,-173.127136230469,-71.7137222290039,-145.667617797852,3.94812965393066,-155.895034790039,8.069504737854,-63.0009078979492,35.0614929199219,53.3333282470703,28.1603717803955,-10.6576147079468,110.057174682617,155.166778564453,61.940071105957,100.833999633789,-209.199462890625,55.0281372070312,-64.2928009033203,66.9305877685547,-107.299606323242,30.2313289642334,-55.3964576721191,209.971389770508,76.4482803344727,136.835906982422,6.72618722915649,-82.4595184326172
-141.458053588867,-39.7825469970703,-77.6278076171875,-39.3784408569336,-41.035961151123,-168.854888916016,-38.51123046875,-132.062133789062,27.5304756164551,-147.327209472656,15.2814722061157,-44.4672050476074,29.4754734039307,30.9722328186035,21.9912776947021,-9.79411220550537,55.6576080322266,85.1364212036133,16.1737461090088,79.0916900634766,-185.597671508789,83.2543487548828,-4.62501239776611,96.7508392333984,-116.561264038086,77.4479904174805,-110.569297790527,118.06143951416,51.1920890808105,105.345878601074,25.1695537567139,-52.7814903259277
-115.202293395996,-20.0932102203369,-33.3075790405273,-25.5364875793457,-13.2214097976685,-149.435363769531,-34.39794921875,-94.145263671875,31.9509201049805,-151.017013549805,-0.263021051883698,15.3590679168701,-22.9576416015625,34.836856842041,15.2423830032349,33.0696868896484,23.2044467926025,71.6137084960938,-1.49288821220398,95.5390777587891,-129.405029296875,79.136589050293,60.5794525146484,80.7992858886719,-129.683151245117,161.069519042969,-120.212730407715,47.6688919067383,66.2111511230469,158.600708007812,-15.1211719512939,-5.15766668319702
-97.7898864746094,-45.9448623657227,-22.1842403411865,-31.4444942474365,1.94004034996033,-138.968994140625,-58.0490913391113,-82.2467880249023,14.9029035568237,-189.538665771484,-22.8064346313477,61.462474822998,-73.1123046875,23.2563972473145,12.794487953186,60.3191604614258,10.4877939224243,19.6763114929199,16.6831226348877,80.2066879272461,-92.6449203491211,44.5330543518066,62.6556587219238,81.2143783569336,-136.14387512207,236.953506469727,-93.9586334228516,153.216705322266,89.7111282348633,161.374847412109,-20.9251708984375,23.1557769775391
