Fp1_Col1,Fp1_Col2,Fp2_Col1,Fp2_Col2,F3_Col1,F3_Col2,F4_Col1,F4_Col2,C3_Col1,C3_Col2,C4_Col1,C4_Col2,P3_Col1,P3_Col2,O1_Col1,O1_Col2,O2_Col1,O2_Col2,F7_Col1,F7_Col2,F8_Col1,F8_Col2,P7_Col1,P7_Col2,Fz_Col1,Fz_Col2,Cz_Col1,Cz_Col2
165.546264648438,-171.429473876953,53.4563331604004,-103.702522277832,37.6120758056641,23.8469772338867,1.23163092136383,-108.638633728027,134.791275024414,130.763229370117,217.300216674805,186.161346435547,196.321517944336,175.798110961914,185.082778930664,5.36284971237183,140.057159423828,91.0546798706055,29.9872703552246,-8.70413208007812,-51.4056396484375,-93.9490966796875,6.84101724624634,-22.5499057769775,5.87961292266846,-29.8244152069092,7.70750999450684,51.6397171020508
85.398193359375,17.5634498596191,-48.5989036560059,-51.3769302368164,96.0579299926758,12.6988039016724,-57.6065406799316,-117.309272766113,201.49250793457,77.0739212036133,209.616683959961,125.121383666992,192.164733886719,84.6262741088867,213.509231567383,-50.0205116271973,98.7438583374023,115.14771270752,88.5738296508789,-60.5781288146973,-99.0830459594727,-101.444366455078,45.1195640563965,13.5793333053589,-12.1054630279541,-48.6043128967285,-0.494852423667908,23.3291149139404
-33.1140289306641,51.5025787353516,-116.516174316406,-19.2588195800781,45.9134674072266,-37.7114868164062,-68.1731872558594,-91.350959777832,231.898315429688,-26.5486793518066,185.70915222168,60.092227935791,200.988143920898,-12.9323568344116,195.0087890625,-47.0491065979004,61.6672058105469,91.9840240478516,142.092346191406,-125.467674255371,-69.8978805541992,-98.4950408935547,70.2794952392578,47.9203491210938,-53.0539588928223,-69.1302871704102,-9.97207260131836,-50.906623840332
-93.3036651611328,-71.1442947387695,-120.554710388184,-46.4204368591309,-70.9912567138672,-122.240814208984,-103.07861328125,-99.6285858154297,185.182968139648,-77.4241638183594,138.689147949219,4.39731740951538,212.567169189453,-38.4891014099121,157.485366821289,13.665620803833,50.4656372070312,38.9863204956055,24.5783958435059,-106.852165222168,-92.4323120117188,-94.8837661743164,71.7522964477539,42.5203590393066,-85.2164688110352,-85.952507019043,-58.9519081115723,-97.850456237793
-95.6301879882812,-120.635696411133,-99.3618774414062,-35.6611557006836,-111.501274108887,-149.41552734375,-156.419250488281,-109.461654663086,117.01545715332,-40.7138748168945,55.9543685913086,-76.9725036621094,197.537048339844,13.3055906295776,158.227661132812,93.2959899902344,19.173397064209,-5.27730226516724,-83.8090515136719,4.75405550003052,-136.84440612793,-64.2629776000977,88.6070556640625,60.9731140136719,-90.3252258300781,-86.7429733276367,-115.358009338379,-130.275314331055
-36.4957389831543,-86.8868942260742,-82.4461669921875,31.8867988586426,-93.1048126220703,-96.9895629882812,-138.533111572266,-78.3432159423828,76.2406921386719,-0.722382187843323,6.88220643997192,-105.885147094727,139.550491333008,57.879825592041,135.81965637207,125.181228637695,0.081474244594574,-19.3575000762939,-97.6399917602539,16.1481132507324,-102.444137573242,-25.3543605804443,92.3469467163086,81.7757263183594,-88.2374572753906,-64.7228012084961,-95.9676513671875,-163.030349731445
15.0030555725098,-93.3108291625977,-37.1073951721191,51.786449432373,-112.646339416504,-67.9016418457031,-69.8859634399414,-33.3357467651367,73.4475860595703,-3.55564332008362,53.0034027099609,-66.3414001464844,95.2796783447266,68.6705856323242,76.1808624267578,89.4498748779297,28.825138092041,-14.4309501647949,-147.979934692383,-58.0543899536133,-45.2916717529297,-2.75242590904236,43.4635124206543,49.8657760620117,-58.8328247070312,-45.7295989990234,-14.7623796463013,-141.24739074707
-39.3857192993164,-131.244247436523,23.0015544891357,-10.9885940551758,-123.080955505371,-77.1102447509766,-9.30391120910645,-22.6976947784424,89.5549926757812,-13.1652193069458,111.568717956543,-59.8142700195312,135.519485473633,72.0931167602539,59.8494415283203,56.7289581298828,39.5829200744629,-34.8616065979004,-143.943908691406,-97.8692474365234,-13.1678619384766,-9.30962753295898,40.3771591186523,-3.02865505218506,-11.8226890563965,-55.4574661254883,29.0318908691406,-102.388374328613
-174.335266113281,-149.647918701172,13.9519758224487,-41.7126274108887,-63.0657119750977,-88.3601303100586,16.2216091156006,-45.0967750549316,102.945953369141,-16.7249374389648,133.482376098633,-82.3983459472656,209.649551391602,68.0316696166992,83.3387908935547,62.7377014160156,27.5203495025635,-65.9291610717773,-20.2284908294678,-126.617477416992,-0.178433254361153,-23.0812397003174,79.4095611572266,27.128963470459,1.91752433776855,-94.1110000610352,20.0427436828613,-98.4714889526367
-260.887084960938,-115.80891418457,-67.6272659301758,22.1387691497803,4.0085620880127,-152.617111206055,-32.4126892089844,-47.2012100219727,121.359878540039,-15.898886680603,171.714050292969,-80.1245803833008,224.965347290039,62.4663848876953,69.7358016967773,69.5125045776367,47.0553321838379,-55.1083908081055,34.4007034301758,-97.8388824462891,-40.1221160888672,-8.88064861297607,33.7267189025879,133.55793762207,-13.091423034668,-140.537948608398,26.8148880004883,-62.0746269226074
-171.429473876953,-72.8101501464844,-103.702522277832,41.8566017150879,23.8469772338867,-214.466384887695,-108.638633728027,-5.226646900177,130.763229370117,-9.69490623474121,186.161346435547,-51.7939567565918,175.798110961914,58.3559455871582,5.36284971237183,73.5031585693359,91.0546798706055,-50.9306488037109,-8.70413208007812,-31.8623428344727,-93.9490966796875,8.55124664306641,-22.5499057769775,153.554672241211,-29.8244152069092,-153.348648071289,51.6397171020508,0.628082692623138
17.5634498596191,-139.681625366211,-51.3769302368164,-34.1114540100098,12.6988039016724,-158.367172241211,-117.309272766113,42.4509887695312,77.0739212036133,-31.1572551727295,125.121383666992,24.9619464874268,84.6262741088867,38.593864440918,-50.0205116271973,70.3741302490234,115.14771270752,-81.3683929443359,-60.5781288146973,-60.6785087585449,-101.444366455078,14.3305397033691,13.5793333053589,73.4940338134766,-48.6043128967285,-124.036697387695,23.3291149139404,19.9062519073486
51.5025787353516,-235.082305908203,-19.2588195800781,-29.7019329071045,-37.7114868164062,-75.7066497802734,-91.350959777832,52.2168579101562,-26.5486793518066,-56.603572845459,60.092227935791,120.145301818848,-12.9323568344116,25.8760261535645,-47.0491065979004,25.3515357971191,91.9840240478516,-76.2113037109375,-125.467674255371,-62.7212066650391,-98.4950408935547,13.3887147903442,47.9203491210938,34.8085250854492,-69.1302871704102,-78.1691589355469,-50.906623840332,37.9528388977051
-71.1442947387695,-163.545974731445,-46.4204368591309,36.3050079345703,-122.240814208984,-50.9428787231445,-99.6285858154297,9.99277782440186,-77.4241638183594,0.852059245109558,4.39731740951538,163.215576171875,-38.4891014099121,55.031494140625,13.665620803833,-9.51496410369873,38.9863204956055,-32.2071647644043,-106.852165222168,25.8647384643555,-94.8837661743164,-30.9225215911865,42.5203590393066,40.3175659179688,-85.952507019043,-17.9395751953125,-97.850456237793,71.7319641113281
