F3_Col1,F3_Col2,F4_Col1,F4_Col2,C3_Col1,C3_Col2,C4_Col1,C4_Col2,P3_Col1,P3_Col2,P4_Col1,P4_Col2,O2_Col1,O2_Col2,F7_Col1,F7_Col2,T7_Col1,T7_Col2,T8_Col1,T8_Col2,P7_Col1,P7_Col2,P8_Col1,P8_Col2,Fz_Col1,Fz_Col2,Cz_Col1,Cz_Col2,Pz_Col1,Pz_Col2
384.24951171875,554.700134277344,26.3905372619629,93.4211349487305,-78.2228393554688,170.728530883789,-43.2487716674805,55.0962104797363,-349.472045898438,123.100852966309,-313.364013671875,-201.938781738281,-322.491088867188,71.0548934936523,-34.644775390625,155.137161254883,-7.7197380065918,218.282669067383,-27.630823135376,-100.410545349121,-210.367401123047,172.047256469727,-116.520454406738,-42.0768356323242,163.017227172852,202.117553710938,-87.8023529052734,87.3211135864258,-373.532562255859,-98.5819778442383
478.755615234375,524.211669921875,-21.2480201721191,29.3799285888672,-70.2260284423828,160.480041503906,-48.6123085021973,0.333008795976639,-375.962890625,171.093383789062,-335.710815429688,-270.285888671875,-336.613616943359,78.7299652099609,5.19038772583008,203.263320922852,12.3044490814209,235.822250366211,-49.5269241333008,-161.109024047852,-231.122283935547,236.315780639648,-71.4945602416992,-127.350692749023,152.783798217773,154.826629638672,-45.839729309082,26.1152000427246,-385.767578125,-108.624122619629
551.300109863281,447.613708496094,-1.81582987308502,-25.2341136932373,-39.8460502624512,128.028274536133,-28.9066867828369,-67.3691711425781,-352.382781982422,202.765838623047,-344.800201416016,-328.927490234375,-314.377990722656,75.9074554443359,32.6338768005371,232.000732421875,35.2237663269043,237.079467773438,-12.213249206543,-197.010345458984,-247.057434082031,107.252708435059,-31.5501461029053,-153.380401611328,175.600448608398,150.103668212891,-1.7734260559082,-38.8603858947754,-369.718322753906,-118.630317687988
589.315612792969,421.582489013672,44.741455078125,-5.00564098358154,-17.9513282775879,122.415145874023,14.4653997421265,-50.5491180419922,-266.778198242188,2.81794834136963,-339.596893310547,-321.563995361328,-266.102508544922,88.9809799194336,27.8711433410645,223.189514160156,45.9966812133789,216.709350585938,-5.01728916168213,-131.284027099609,-194.904724121094,-19.6100025177002,-48.0792198181152,-88.3583374023438,188.483489990234,184.439224243164,2.79128074645996,-11.1682758331299,-364.839752197266,-79.9326171875
586.07958984375,427.222106933594,29.0229263305664,24.0200977325439,14.1721878051758,147.954483032227,9.21729946136475,4.48905801773071,-199.146209716797,-112.815132141113,-334.876617431641,-260.290100097656,-194.885711669922,82.7948608398438,22.2335739135742,168.979843139648,55.5617141723633,167.667892456055,-45.3143348693848,-59.5875968933105,-106.302383422852,43.5954208374023,-83.548469543457,-46.3336181640625,185.454818725586,191.167129516602,-7.08543348312378,51.4694595336914,-359.634033203125,-5.01123094558716
557.01513671875,378.787994384766,3.26063513755798,-1.49075174331665,39.9088134765625,155.966751098633,-37.3285903930664,31.9800415039062,-137.928085327148,36.6951370239258,-332.749237060547,-211.131622314453,-114.809005737305,95.7391967773438,32.2972526550293,109.121429443359,76.7279052734375,130.862747192383,-71.966911315918,-39.2924461364746,-41.0090370178223,139.504745483398,-104.523254394531,-36.3008499145508,183.818496704102,169.14289855957,-17.8068237304688,47.2490997314453,-335.569305419922,30.507173538208
548.357116699219,299.217010498047,31.4673862457275,-37.9686241149902,36.0346908569336,140.541091918945,-31.6073551177979,35.794792175293,-108.509559631348,20.8448371887207,-313.961517333984,-210.256698608398,-60.4065208435059,144.702072143555,29.654426574707,89.2692260742188,86.9395446777344,123.915863037109,-73.2130508422852,-13.8510694503784,-12.0088577270508,100.174087524414,-87.4129028320312,-39.8730354309082,191.65690612793,155.008224487305,-4.27832555770874,19.6904392242432,-282.293579101562,20.2338905334473
579.516418457031,217.38459777832,79.4711151123047,-28.46213722229,74.0786590576172,98.5696334838867,14.8501777648926,64.7339553833008,-123.947380065918,-154.077438354492,-275.117553710938,-171.564926147461,-61.953125,150.564514160156,35.5269584655762,61.9051666259766,92.3261947631836,97.6900329589844,-83.8919677734375,45.841251373291,1.2405993938446,13.3995532989502,-69.6177978515625,-32.4540824890137,222.92610168457,126.909027099609,42.0999069213867,60.9824981689453,-179.267059326172,-5.21308088302612
587.345520019531,144.080215454102,100.155799865723,-3.0504355430603,147.804183959961,40.568286895752,27.2126407623291,136.303329467773,-32.9631538391113,-105.391609191895,-229.874282836914,-77.1272888183594,-65.9370880126953,99.995735168457,74.3970565795898,2.36252593994141,124.345283508301,47.5603523254395,-107.34797668457,114.085441589355,2.99935054779053,-25.3240070343018,-71.8085861206055,23.3349723815918,252.569351196289,62.1697540283203,73.2425994873047,108.202857971191,-91.2266998291016,-19.1329097747803
560.230773925781,94.8844375610352,106.331703186035,-31.415922164917,173.194839477539,-10.2138357162476,39.1017684936523,146.823577880859,103.884094238281,17.6198234558105,-192.177398681641,-45.3610229492188,-1.11582028865814,57.1647186279297,114.515449523926,-39.6371421813965,176.557678222656,5.79223918914795,-102.533668518066,154.111022949219,44.6089744567871,-55.5671501159668,-40.9438171386719,70.6142578125,244.299163818359,-20.6245021820068,87.8405990600586,55.5179710388184,-82.5808258056641,19.9689483642578
