Fp1_Col1,Fp1_Col2,Fp2_Col1,Fp2_Col2,F3_Col1,F3_Col2,F4_Col1,F4_Col2,C3_Col1,C3_Col2,P3_Col1,P3_Col2,P4_Col1,P4_Col2,O1_Col1,O1_Col2,O2_Col1,O2_Col2,F8_Col1,F8_Col2,P7_Col1,P7_Col2,P8_Col1,P8_Col2,Fz_Col1,Fz_Col2,Cz_Col1,Cz_Col2
-231.123138427734,-236.20085144043,-149.169479370117,-151.567474365234,-156.95263671875,-201.649353027344,-172.374008178711,-142.216506958008,-109.811943054199,-193.15966796875,-2.61877179145813,-196.218658447266,-72.8754196166992,-239.440399169922,41.6937789916992,-173.65087890625,18.0609264373779,-237.784591674805,-148.356170654297,-84.3798446655273,-69.4254760742188,-222.479431152344,51.0372047424316,1.32502949237823,-123.881134033203,-153.308395385742,-301.673858642578,-194.341384887695
-188.68049621582,-203.229568481445,-131.979644775391,-154.320541381836,-119.813354492188,-119.96085357666,-188.823364257812,-151.950973510742,-114.057052612305,-119.645874023438,-56.405876159668,-162.463485717773,-76.1848220825195,-253.107025146484,4.40138673782349,-220.771667480469,8.51685237884521,-216.272476196289,-160.679580688477,-124.995185852051,-100.412353515625,-163.206604003906,42.5084075927734,12.6992139816284,-164.121047973633,-80.9011611938477,-337.689849853516,-161.350845336914
-207.676864624023,-113.557708740234,-101.242828369141,-145.512390136719,-114.019737243652,-64.1404571533203,-154.660598754883,-138.717498779297,-131.347015380859,-68.7184371948242,-89.7692642211914,-123.165832519531,-50.5815620422363,-175.877944946289,21.7197208404541,-211.457534790039,26.4271011352539,-149.648651123047,-114.054862976074,-112.545547485352,-82.7012481689453,-111.018058776855,74.3499221801758,-4.67780876159668,-157.639358520508,-45.4948616027832,-326.226196289062,-119.416915893555
-198.114151000977,-61.9558563232422,-92.6545944213867,-120.673751831055,-137.744903564453,-82.1110000610352,-127.849105834961,-115.327598571777,-145.566192626953,-39.8545227050781,-61.0183868408203,-103.221229553223,-35.875862121582,-72.463737487793,2.21909999847412,-201.426300048828,6.32703351974487,-72.561279296875,-102.648529052734,-67.5938186645508,-77.6335525512695,-118.346946716309,66.9857559204102,-8.29667282104492,-139.104934692383,-68.197639465332,-297.508117675781,-74.6036071777344
-229.374862670898,-74.5049057006836,-126.09008026123,-69.3479537963867,-176.270065307617,-65.5567092895508,-164.826873779297,-81.1181335449219,-178.608428955078,26.0950775146484,-79.0177001953125,-56.9564590454102,-125.291893005371,-21.9535217285156,-112.094856262207,-197.00749206543,-102.351615905762,-1.30620861053467,-174.352310180664,-50.9313659667969,-132.958724975586,-118.807899475098,-18.7080116271973,7.17397832870483,-169.130157470703,-80.3297119140625,-319.692016601562,4.5799355506897
-282.022430419922,-52.6612510681152,-134.501953125,-41.5998916625977,-216.116500854492,-12.0043125152588,-198.750015258789,-47.1770668029785,-220.592193603516,82.6012649536133,-188.797225952148,27.2076358795166,-245.326126098633,5.95991802215576,-223.837356567383,-134.75422668457,-211.818252563477,11.5589408874512,-186.864227294922,-40.2624473571777,-234.522262573242,-64.8257598876953,-70.906379699707,37.6332511901855,-213.93408203125,-37.2576675415039,-353.655364990234,46.5000267028809
-260.062377929688,3.44723439216614,-91.5352401733398,-57.2850723266602,-233.768768310547,10.3460474014282,-182.932006835938,-50.5327033996582,-249.207656860352,95.5404357910156,-263.671844482422,82.2709503173828,-261.790435791016,-37.445384979248,-222.838836669922,-58.0405960083008,-240.24723815918,-62.8247032165527,-109.915512084961,-38.431095123291,-282.639678955078,-42.6396064758301,-59.6393394470215,46.5801887512207,-210.885711669922,3.03122091293335,-382.096649169922,9.60557746887207
-212.969802856445,-30.577657699585,-63.8399276733398,-78.6700744628906,-209.287170410156,13.3286285400391,-148.882247924805,-100.584281921387,-240.650573730469,82.8933639526367,-201.784866333008,22.884349822998,-250.923278808594,-98.3452072143555,-144.101760864258,-3.90339732170105,-235.330352783203,-91.5153427124023,-70.9652252197266,-84.8355178833008,-218.097518920898,-84.8257751464844,-76.3208465576172,21.2413444519043,-169.124008178711,-21.7418670654297,-372.803558349609,-35.3586196899414
-203.886993408203,-116.168441772461,-81.2889938354492,-92.0853500366211,-178.048202514648,15.704532623291,-122.512657165527,-132.548431396484,-211.509719848633,50.0987281799316,-121.993629455566,-42.5175247192383,-267.431060791016,-21.6154670715332,-90.1918563842773,112.932228088379,-232.866683959961,15.3554210662842,-75.0134735107422,-119.532196044922,-163.611465454102,-57.1041030883789,-105.354026794434,4.02428674697876,-158.582412719727,-56.0289268493652,-284.902618408203,-35.6362686157227
-219.324951171875,-83.3510971069336,-120.961074829102,-88.3117980957031,-198.0029296875,22.0946426391602,-120.808013916016,-91.7505874633789,-211.06640625,47.6673355102539,-153.40544128418,37.5813407897949,-245.115783691406,83.4404830932617,-107.016822814941,241.038818359375,-230.933410644531,107.253562927246,-66.2332992553711,-95.8575973510742,-201.912796020508,53.8393363952637,-64.4793548583984,1.51042914390564,-179.280853271484,-37.8160095214844,-210.867874145508,19.0644760131836
