F3_Col1,F3_Col2,F4_Col1,F4_Col2,C3_Col1,C3_Col2,C4_Col1,C4_Col2,P3_Col1,P3_Col2,P4_Col1,P4_Col2,O1_Col1,O1_Col2,O2_Col1,O2_Col2,F7_Col1,F7_Col2,F8_Col1,F8_Col2,T8_Col1,T8_Col2,P8_Col1,P8_Col2,Cz_Col1,Cz_Col2
139.72053527832,-116.996543884277,62.2258491516113,-276.779235839844,-25.1125659942627,-48.5394439697266,-7.67225980758667,-169.126327514648,-175.724044799805,-130.130767822266,-43.044506072998,-110.248741149902,-217.93603515625,-61.2998886108398,-135.991561889648,-153.288848876953,119.819465637207,82.4397048950195,16.2810935974121,208.337203979492,-115.59156036377,-53.264949798584,49.8616333007812,-49.6113891601562,61.7004661560059,-131.000442504883
214.51953125,-231.202545166016,174.840774536133,-199.748001098633,35.8457908630371,-59.6595420837402,38.0644912719727,-78.2096405029297,-307.038116455078,-104.916191101074,-127.28751373291,-73.9583282470703,-293.745086669922,-68.6554107666016,-288.530151367188,-147.596725463867,227.496856689453,113.344116210938,26.9611892700195,171.766098022461,-120.00358581543,125.733238220215,-60.8523216247559,-90.5781860351562,34.5539474487305,-128.957214355469
186.297332763672,-251.403472900391,230.746353149414,-110.564880371094,51.6529769897461,-74.9798431396484,36.6141891479492,-44.0253067016602,-262.262542724609,-69.8733444213867,-255.370758056641,-46.1484069824219,-273.757690429688,-66.1786117553711,-179.99250793457,-119.180282592773,195.879516601562,56.2757453918457,9.34956741333008,118.107566833496,-83.1460876464844,129.954513549805,-136.970306396484,-118.316261291504,-26.1493263244629,-133.617248535156
133.639526367188,-129.249298095703,207.390472412109,-113.736694335938,103.508766174316,-64.2231521606445,-23.124963760376,-43.2661399841309,-148.263793945312,-82.2767944335938,-298.246704101562,-36.1897315979004,-174.226623535156,-84.06689453125,-48.0789527893066,-153.481323242188,99.8605728149414,23.4519309997559,9.16786003112793,48.3878440856934,-120.250823974609,-23.3124980926514,-89.308349609375,-87.4644927978516,1.51740705966949,-75.0085830688477
149.981948852539,-32.8568305969238,120.94514465332,-146.088272094727,168.194839477539,-45.1537017822266,-62.3212051391602,-40.8602981567383,-139.042236328125,-110.312866210938,-226.354354858398,-53.4993057250977,-143.339477539062,-112.771003723145,-39.1450691223145,-163.676910400391,32.9220428466797,40.0320587158203,-49.6103515625,-50.172004699707,-188.264694213867,-71.8454437255859,-72.0516891479492,-1.67906475067139,58.4996452331543,-1.47510087490082
138.639617919922,-47.4713172912598,57.1646308898926,-141.988739013672,133.898498535156,-11.2146606445312,-35.2419281005859,-23.9589462280273,-217.984390258789,-62.1992874145508,-136.951873779297,-46.2858963012695,-213.068161010742,-92.9958419799805,-116.558479309082,-119.917274475098,13.6426830291748,6.80863952636719,-87.4245758056641,-52.3182373046875,-106.578002929688,-8.59548091888428,-65.6428604125977,-7.21527862548828,48.1313667297363,5.19683170318604
30.1238327026367,-118.791831970215,53.2629356384277,-124.130599975586,61.0103569030762,47.4158706665039,38.0517539978027,-1.30869364738464,-231.807983398438,44.7843170166016,-110.977081298828,4.97904491424561,-237.55078125,0.413573116064072,-209.138320922852,-114.006248474121,71.0070571899414,-64.6549606323242,-49.5527458190918,28.0272750854492,61.058521270752,11.5088634490967,-25.6711864471436,-70.7269287109375,-26.0690441131592,12.6681060791016
-108.21607208252,-111.533828735352,27.7561931610107,-112.830101013184,24.7128887176514,108.304420471191,29.1276149749756,29.08620262146,-156.982131958008,108.095649719238,-160.776184082031,62.1128273010254,-183.212142944336,112.973152160645,-138.846282958984,-194.186218261719,171.59619140625,-131.102981567383,-28.2161922454834,5.60830497741699,94.1275253295898,-15.8250732421875,-11.855354309082,-60.0657234191895,-136.50358581543,78.6673355102539
-160.017990112305,27.1687469482422,-78.8143692016602,-81.8410797119141,-16.3134918212891,162.024002075195,-118.610557556152,64.399658203125,-105.72891998291,71.2098541259766,-207.768127441406,76.4064254760742,-117.109710693359,105.235809326172,13.2505111694336,-215.418197631836,165.007858276367,-121.551872253418,11.1935958862305,-100.533493041992,-30.3846435546875,-61.6723747253418,-3.7737717628479,-68.5919952392578,-209.36247253418,98.100341796875
-108.295028686523,136.371505737305,-219.739044189453,2.4184045791626,-48.8795280456543,163.737609863281,-222.962661743164,80.0476989746094,-116.437561035156,-48.9543113708496,-174.295989990234,12.4354066848755,-70.1871643066406,-47.2966041564941,-28.9588298797607,-112.54411315918,77.0675735473633,40.1699752807617,132.69873046875,-155.023590087891,-135.177947998047,-104.449974060059,-7.20911455154419,-138.059539794922,-183.997589111328,70.8981704711914
-116.996543884277,113.505821228027,-276.779235839844,92.9344253540039,-48.5394439697266,74.2192687988281,-169.126327514648,105.880546569824,-130.130767822266,-161.687255859375,-110.248741149902,-69.8153686523438,-61.2998886108398,-167.166137695312,-153.288848876953,-94.6388473510742,82.4397048950195,232.130676269531,208.337203979492,-208.595031738281,-53.264949798584,-55.9648170471191,-49.6113891601562,-154.692245483398,-131.000442504883,109.042671203613
-231.202545166016,51.6084251403809,-199.748001098633,100.440155029297,-59.6595420837402,2.03160452842712,-78.2096405029297,167.508453369141,-104.916191101074,-185.60270690918,-73.9583282470703,-50.5051193237305,-68.6554107666016,-177.384613037109,-147.596725463867,-209.214248657227,113.344116210938,293.870208740234,171.766098022461,-290.232574462891,125.733238220215,64.2639617919922,-90.5781860351562,-111.52857208252,-128.957214355469,152.17268371582
-251.403472900391,5.57451343536377,-110.564880371094,49.1985359191895,-74.9798431396484,34.8485221862793,-44.0253067016602,191.902618408203,-69.8733444213867,-143.643981933594,-46.1484069824219,41.7577056884766,-66.1786117553711,-155.128707885742,-119.180282592773,-219.344482421875,56.2757453918457,253.175918579102,118.107566833496,-301.748748779297,129.954513549805,108.45817565918,-118.316261291504,-55.2482223510742,-133.617248535156,114.059356689453
