Fp1_Col1,Fp1_Col2,Fp2_Col1,Fp2_Col2,F3_Col1,F3_Col2,F4_Col1,F4_Col2,C3_Col1,C3_Col2,C4_Col1,C4_Col2,P3_Col1,P3_Col2,P4_Col1,P4_Col2,O1_Col1,O1_Col2,O2_Col1,O2_Col2,F7_Col1,F7_Col2,T7_Col1,T7_Col2,Fz_Col1,Fz_Col2,Cz_Col1,Cz_Col2
49.4465370178223,-246.359313964844,100.481391906738,-167.115615844727,-43.0216178894043,-283.734008789062,-190.179718017578,-165.651168823242,82.3789901733398,-35.2218017578125,-159.372955322266,-80.0941619873047,153.977905273438,-36.8085594177246,-136.934219360352,-54.8947296142578,260.898590087891,-58.5436401367188,-88.1219253540039,-20.8724842071533,-67.3199157714844,-267.565002441406,-40.5479202270508,-75.7515411376953,11.2811222076416,-167.066497802734,-211.614135742188,-42.9322319030762
-18.0441932678223,-251.612289428711,-59.3867988586426,-124.807441711426,-57.1353530883789,-249.759399414062,-239.984436035156,-132.613800048828,74.9303970336914,7.64156341552734,-204.136703491211,-73.3374633789062,94.9617919921875,7.35407590866089,-226.859252929688,-58.2427673339844,256.453155517578,18.8586463928223,-184.937805175781,-14.6860265731812,-93.3906402587891,-258.214447021484,-131.895477294922,-91.8023452758789,22.4543304443359,-147.047866821289,-264.705169677734,-93.8632431030273
-90.2330322265625,-222.006927490234,-168.67366027832,-165.997985839844,-41.4914894104004,-220.575012207031,-206.584625244141,-152.993606567383,45.593433380127,-10.1978998184204,-229.734176635742,-87.1900787353516,15.5454559326172,60.1065864562988,-217.376129150391,-102.243110656738,201.445526123047,35.2021255493164,-174.627777099609,-87.4826965332031,-111.49397277832,-180.515686035156,-182.861129760742,-57.0631294250488,31.3924808502197,-135.053039550781,-161.446685791016,-123.625465393066
-44.1658058166504,-107.080894470215,-111.82780456543,-157.933654785156,-4.09354257583618,-134.31787109375,-144.105392456055,-180.626022338867,61.6278076171875,-51.4673347473145,-134.47477722168,-133.671951293945,79.6682815551758,57.8620452880859,-138.739685058594,-141.299713134766,186.787796020508,-28.9127750396729,-132.857116699219,-183.327026367188,-100.164001464844,-47.055534362793,-162.650360107422,39.6955871582031,103.672180175781,-88.6585464477539,-42.0151863098145,-117.559768676758
-25.400598526001,-30.9128608703613,-140.730361938477,-68.3545150756836,21.0542583465576,-56.6812362670898,-164.257095336914,-169.711975097656,95.8440628051758,-48.3662452697754,-51.2875289916992,-140.97004699707,137.41520690918,69.1059417724609,-91.9809646606445,-132.899765014648,231.34130859375,-99.8858032226562,-152.955154418945,-157.358154296875,-78.9201812744141,14.8878059387207,-122.076614379883,74.4568481445312,95.604377746582,-99.3347091674805,-56.7183265686035,-99.6986999511719
-99.143196105957,-84.8999328613281,-187.544586181641,-82.5758361816406,-20.0886573791504,-76.8496322631836,-202.485473632812,-145.931091308594,52.7083129882812,-44.8584136962891,-91.6246643066406,-89.1525650024414,43.212272644043,86.1009902954102,-84.486686706543,-88.7189407348633,180.179550170898,-94.5179977416992,-87.5231094360352,-38.7191047668457,-108.392730712891,-4.47376251220703,-152.053359985352,39.6250915527344,-22.9943599700928,-135.437728881836,-122.290252685547,-112.979362487793
-152.651901245117,-67.7646789550781,-131.880035400391,-140.877380371094,-114.18091583252,-91.7994689941406,-194.536010742188,-159.05436706543,-2.01199054718018,-27.2075958251953,-133.231475830078,-101.665405273438,-5.13277912139893,104.944244384766,-65.0913543701172,-89.5914611816406,111.69140625,-13.606650352478,59.9498901367188,-29.4829044342041,-159.873458862305,28.1154918670654,-163.126312255859,52.8371162414551,-84.5942230224609,-68.3290557861328,-150.837005615234,-165.817504882812
-173.817749023438,82.6827163696289,-124.56957244873,-55.6867980957031,-170.170532226562,-50.5598182678223,-224.012481689453,-132.495269775391,38.8458442687988,23.3480129241943,-91.1780014038086,-176.085845947266,108.293838500977,151.066711425781,-16.0033016204834,-152.446563720703,164.486557006836,22.5317192077637,62.1108131408691,-122.639358520508,-161.236541748047,72.1850967407227,-85.4353561401367,124.158203125,-117.323104858398,54.4030647277832,-133.107635498047,-160.274810791016
-212.75439453125,100.890235900879,-201.319305419922,50.1011047363281,-212.707550048828,-22.7923698425293,-276.552856445312,-0.974349677562714,60.3963203430176,15.233250617981,-54.0554809570312,-124.144020080566,167.951873779297,135.778686523438,-7.66695499420166,-128.481048583984,141.661544799805,-17.9648361206055,-44.7425651550293,-141.177047729492,-168.464935302734,28.4984321594238,-42.9896392822266,148.600402832031,-205.738204956055,103.049468994141,-75.757453918457,-46.6295433044434
-242.730072021484,-26.2185878753662,-228.076400756836,68.6376495361328,-277.731689453125,-17.8090190887451,-245.233642578125,106.829818725586,-12.5238857269287,-79.2863388061523,-67.5243148803711,-2.186448097229,56.2629318237305,36.2935752868652,-46.3500366210938,-28.478702545166,-15.5330858230591,-73.8887023925781,-65.7411193847656,-91.3208923339844,-226.445816040039,-31.6038341522217,-61.1937866210938,75.1508102416992,-228.506698608398,94.5789184570312,-28.4611892700195,9.10394859313965
