Fp2_Col1,Fp2_Col2,F3_Col1,F3_Col2,F4_Col1,F4_Col2,C3_Col1,C3_Col2,C4_Col1,C4_Col2,P3_Col1,P3_Col2,P4_Col1,P4_Col2,O2_Col1,O2_Col2,F7_Col1,F7_Col2,F8_Col1,F8_Col2,T7_Col1,T7_Col2,T8_Col1,T8_Col2,P7_Col1,P7_Col2,P8_Col1,P8_Col2,Fz_Col1,Fz_Col2,Cz_Col1,Cz_Col2,Pz_Col1,Pz_Col2
5.97998714447021,-201.438064575195,-31.8205394744873,71.2975921630859,-170.041030883789,-126.203430175781,-149.42236328125,36.3130989074707,-81.1409072875977,59.6167182922363,-243.739807128906,147.937561035156,-193.6103515625,-132.301986694336,-14.504584312439,20.0117511749268,93.3744125366211,11.8610811233521,-206.271377563477,-103.12866973877,50.4060401916504,48.8752708435059,-78.6600723266602,-112.899452209473,-9.90851306915283,94.9067993164062,-26.4260749816895,-106.998603820801,-109.444053649902,-84.4071960449219,9.17826080322266,-20.3004531860352,-91.9603652954102,141.046417236328
-71.3462448120117,-272.109252929688,59.2027587890625,7.54307126998901,-111.330589294434,-96.6662826538086,-81.9766998291016,-33.095157623291,-44.8234252929688,51.1432571411133,-138.497528076172,157.692916870117,-182.644271850586,-92.9112014770508,42.7590942382812,25.8022613525391,125.714424133301,-47.3075828552246,-97.1011657714844,-107.247146606445,67.1137313842773,19.1532783508301,-74.6792907714844,-126.136611938477,34.6998405456543,33.4214248657227,-62.7785148620605,-133.881423950195,-36.7597465515137,-138.879776000977,1.00362586975098,1.75665354728699,-61.6482810974121,153.906646728516
-109.615600585938,-252.482238769531,91.1446838378906,-76.2407302856445,-138.248550415039,-17.6464042663574,-42.5647888183594,-107.261444091797,-79.6011505126953,42.6623840332031,-39.138355255127,180.064514160156,-185.052978515625,29.9393501281738,49.1188545227051,93.0597839355469,134.935333251953,-110.457855224609,-127.152740478516,-94.9481201171875,62.9440612792969,-22.1590805053711,-134.400100708008,-105.915153503418,-3.01885437965393,46.5265045166016,-79.7059097290039,-106.018165588379,-40.0545043945312,-130.229873657227,-21.0618343353271,50.5348358154297,-37.1490325927734,209.113922119141
-155.220153808594,-238.993072509766,38.0848846435547,-87.4687042236328,-172.745101928711,28.5319919586182,-16.8700103759766,-109.104179382324,-106.849853515625,51.2897148132324,21.2784614562988,156.789703369141,-178.678421020508,129.316665649414,-7.78275871276855,144.429733276367,112.84105682373,-129.501419067383,-250.852447509766,-102.905578613281,51.2848892211914,-59.7862358093262,-189.135101318359,-76.5274047851562,-44.1184234619141,70.1515579223633,-100.496376037598,-61.1978416442871,-95.1523666381836,-89.1167755126953,9.12558937072754,29.0526161193848,-10.0993194580078,206.417541503906
-166.403198242188,-328.614959716797,11.7666702270508,-49.0747108459473,-165.257431030273,-0.706227600574493,-2.61138987541199,-78.0361022949219,-68.5580139160156,33.1550445556641,67.0975570678711,65.7842636108398,-131.007171630859,101.409721374512,-10.2677345275879,167.694274902344,67.4095840454102,-57.323657989502,-328.933258056641,-137.634628295898,33.4059982299805,-51.6310005187988,-190.176391601562,-80.9623336791992,1.06579506397247,23.2615623474121,-100.113067626953,-64.5257186889648,-111.198837280273,-54.9668655395508,70.8644104003906,-19.7085666656494,-17.6766242980957,114.532447814941
-78.3111724853516,-326.983703613281,34.4395065307617,-14.1047401428223,-134.030395507812,-12.5119142532349,-8.18378162384033,-59.7402648925781,-2.09787535667419,13.9188899993896,79.2431945800781,14.5961408615112,-50.2548446655273,80.9947738647461,121.870544433594,183.859878540039,20.0595188140869,32.0269432067871,-307.895324707031,-111.032211303711,11.7920122146606,-23.5032272338867,-125.81356048584,-70.4773941040039,17.2494926452637,-21.6436061859131,-37.2879638671875,-58.2451210021973,-90.1799545288086,-24.7487354278564,97.5726547241211,1.16018509864807,-39.9060554504395,46.8075370788574
-40.7087554931641,-209.628402709961,37.9158973693848,-21.1775951385498,-102.566886901855,14.4229221343994,-9.72771167755127,-84.6731185913086,27.6037578582764,29.9720115661621,33.9730491638184,5.29442882537842,-13.6702213287354,108.214500427246,217.867736816406,181.517868041992,5.53442430496216,-0.741077065467834,-210.240661621094,-53.1848335266113,-1.8028963804245,-42.6238594055176,-119.758728027344,-38.5351257324219,-9.2452564239502,-33.9678916931152,6.76852369308472,-22.0838947296143,-50.6922645568848,-28.307933807373,45.2670288085938,14.8355445861816,11.0186824798584,-14.2137145996094
-178.236862182617,-199.225616455078,10.407772064209,-62.0447273254395,-99.7196960449219,-14.1488695144653,-10.8997888565063,-156.673446655273,-4.1153302192688,13.3419170379639,7.37318229675293,-65.1754989624023,-85.5103302001953,76.1145401000977,151.031219482422,166.160049438477,43.5243263244629,-124.353073120117,-110.526885986328,-94.533332824707,22.0018329620361,-106.763618469238,-240.652099609375,-57.0543556213379,34.5146102905273,-43.8026466369629,-53.9890174865723,-26.9436378479004,7.21178197860718,-88.8822250366211,-48.6124038696289,-36.6415824890137,97.0756454467773,-97.594108581543
-278.476409912109,-311.822570800781,2.7774031162262,-58.051097869873,-117.199775695801,-92.5712280273438,-10.5884733200073,-187.767868041992,-29.3520812988281,-86.3518447875977,56.3408851623535,-121.525177001953,-171.96598815918,17.3794212341309,68.7579574584961,120.95645904541,81.4551620483398,-159.164886474609,-80.7568588256836,-196.95686340332,66.7929611206055,-145.594802856445,-286.087097167969,-134.784103393555,117.735778808594,-1.81557941436768,-120.575965881348,-76.6135864257812,33.8773498535156,-145.440811157227,-72.4609909057617,-90.5380172729492,132.723754882812,-100.911674499512
-214.569198608398,-379.222290039062,45.2587699890137,-18.8027420043945,-125.149742126465,-130.046783447266,22.6318511962891,-144.484558105469,13.8861818313599,-174.311157226562,122.375923156738,-94.0119476318359,-165.322479248047,-5.31203031539917,47.7260856628418,80.7629165649414,63.4584465026855,-86.1242218017578,-92.7804412841797,-225.248641967773,75.0605163574219,-120.068397521973,-178.248916625977,-171.934661865234,145.574768066406,66.7263107299805,-109.017242431641,-99.0483703613281,-6.58920764923096,-167.697998046875,-32.36083984375,-117.849868774414,141.564208984375,-49.2652549743652
