Fp1_Col1,Fp1_Col2,Fp2_Col1,Fp2_Col2,F3_Col1,F3_Col2,F4_Col1,F4_Col2,C3_Col1,C3_Col2,C4_Col1,C4_Col2,P3_Col1,P3_Col2,P4_Col1,P4_Col2,O1_Col1,O1_Col2,O2_Col1,O2_Col2,F7_Col1,F7_Col2,F8_Col1,F8_Col2,T7_Col1,T7_Col2,T8_Col1,T8_Col2,P7_Col1,P7_Col2,P8_Col1,P8_Col2,Fz_Col1,Fz_Col2,Cz_Col1,Cz_Col2,Pz_Col1,Pz_Col2
-163.847900390625,-153.58528137207,-103.205703735352,-135.229202270508,-146.504013061523,-77.4729919433594,-152.6142578125,-54.7245025634766,217.763595581055,-9.10691928863525,411.161560058594,-122.515075683594,199.32958984375,68.7679061889648,288.534912109375,-92.7058868408203,120.439018249512,80.0046997070312,133.733016967773,-63.6333999633789,-98.7074737548828,-1.4060126543045,34.1740760803223,-148.16535949707,152.635833740234,-119.431007385254,233.988845825195,-106.678680419922,43.5145835876465,-53.0157012939453,195.3505859375,-116.101997375488,-210.884002685547,305.753814697266,-31.751636505127,119.395484924316,121.90869140625,20.8050670623779
-142.909027099609,-64.9893569946289,-62.686653137207,32.6805000305176,-196.520553588867,-31.1950702667236,-48.8632278442383,57.2560577392578,32.0420532226562,92.9883270263672,395.713409423828,-72.3690643310547,33.2751655578613,192.957412719727,214.099792480469,-73.0975494384766,-23.7318344116211,139.815444946289,126.895950317383,-12.6868352890015,-77.5635528564453,42.0766181945801,147.25341796875,-48.3262138366699,19.9175758361816,27.1325340270996,212.201232910156,-144.458831787109,-72.3594741821289,-0.298628985881805,70.3698120117188,-139.293029785156,-143.897567749023,266.526580810547,-55.8572082519531,37.200569152832,-39.8838386535645,-22.6024341583252
-73.7528305053711,-67.8445663452148,7.63570547103882,125.601791381836,-145.608993530273,-76.505485534668,26.6587142944336,103.919815063477,-112.570587158203,103.572639465332,297.477294921875,-0.190315499901772,-123.983131408691,124.700965881348,67.0616073608398,-17.4820709228516,-230.598098754883,88.3386764526367,77.6719589233398,38.470100402832,-80.2402114868164,-34.6698265075684,107.47087097168,21.1011962890625,-193.692398071289,103.912109375,72.1665725708008,-70.3607559204102,-172.095504760742,40.2609519958496,-123.890472412109,-86.2154769897461,-23.1126384735107,99.593505859375,-26.3293418884277,-123.675819396973,-182.531814575195,-113.180618286133
57.1014518737793,-148.973678588867,72.530158996582,27.0727767944336,-7.22335767745972,-181.087295532227,38.0576095581055,-6.12844610214233,-80.0137023925781,-66.2973098754883,163.286560058594,13.1435165405273,-128.873077392578,-105.168907165527,-85.0039749145508,-10.1004800796509,-302.873107910156,-41.3436622619629,54.5632972717285,40.848316192627,-15.5473680496216,-63.7418823242188,-15.1562280654907,39.849308013916,-142.790863037109,36.8138999938965,-82.4766235351562,22.3904190063477,-156.376892089844,93.8517074584961,-219.959945678711,23.852518081665,101.485054016113,-149.709671020508,-5.54132747650146,-322.665283203125,-228.540802001953,-211.510498046875
174.939514160156,-268.104553222656,81.1701049804688,-196.937606811523,141.65071105957,-325.449035644531,17.3534660339355,-220.295257568359,41.931079864502,-207.568740844727,23.4860286712646,-46.7278175354004,-15.2569847106934,-235.539688110352,-183.872848510742,-77.8867263793945,-192.391677856445,-142.039031982422,59.8823890686035,-33.7331924438477,52.7512092590332,-75.480827331543,-123.752265930176,-41.8133850097656,13.9312391281128,-89.2796783447266,-131.84440612793,67.7724609375,-100.558258056641,123.617614746094,-176.929641723633,97.2729110717773,108.124366760254,-401.2392578125,-34.8897552490234,-430.306030273438,-207.171081542969,-290.819580078125
61.0628128051758,-376.215301513672,38.7625465393066,-379.351898193359,68.6917877197266,-427.524139404297,-17.0708770751953,-405.793121337891,20.1085243225098,-211.20036315918,-77.2081985473633,-114.50154876709,-20.5117321014404,-219.080993652344,-201.146392822266,-167.254669189453,-69.6866226196289,-251.232925415039,21.7644004821777,-109.770057678223,-21.2802753448486,-135.943542480469,-148.160064697266,-171.702056884766,-38.0287475585938,-108.164909362793,-105.864654541016,72.6831893920898,-73.4133224487305,55.5151519775391,-144.31901550293,98.4679260253906,-60.8065948486328,-479.511840820312,-99.6928405761719,-399.427764892578,-182.034851074219,-336.501647949219
-234.568145751953,-375.440277099609,-31.2245178222656,-424.291595458984,-204.098236083984,-385.493988037109,-48.5087471008301,-472.908142089844,-222.874557495117,-152.427612304688,-114.269798278809,-122.295471191406,-228.5244140625,-143.869155883789,-143.755386352539,-187.632080078125,-65.5025939941406,-276.602416992188,18.3182601928711,-89.198112487793,-193.69059753418,-90.5087814331055,-78.1036376953125,-173.305236816406,-163.137725830078,10.6222639083862,-73.0606002807617,77.1250381469727,-39.618049621582,-48.3819923400879,-142.327362060547,78.3077087402344,-231.981460571289,-332.755645751953,-128.617263793945,-290.111938476562,-161.960723876953,-239.530838012695
-431.025054931641,-212.315322875977,-126.766387939453,-334.216888427734,-384.490997314453,-234.257614135742,-75.2527694702148,-381.226348876953,-394.118774414062,-88.5069274902344,-107.686058044434,-57.5235862731934,-373.1328125,-55.2674179077148,-53.875617980957,-118.993499755859,-39.0387649536133,-149.361831665039,75.5591659545898,-22.1669387817383,-321.518646240234,37.6199760437012,-28.2507553100586,-73.8549575805664,-186.137466430664,54.930778503418,-4.03078413009644,46.7020874023438,-9.0458812713623,-89.8004531860352,-90.3582534790039,33.3939819335938,-230.073516845703,-132.908157348633,-59.6840133666992,-145.90283203125,-87.3960418701172,-63.2297554016113
-424.846710205078,-59.4008979797363,-215.286956787109,-175.211410522461,-355.464630126953,-122.697425842285,-108.860649108887,-187.818588256836,-274.456756591797,-83.029182434082,-99.5879745483398,34.3127174377441,-275.697540283203,-61.4908218383789,-6.14649963378906,-26.490291595459,52.485034942627,-26.2290439605713,49.8176078796387,-21.5415325164795,-324.221069335938,13.9894247055054,-101.16382598877,-79.557014465332,-187.068099975586,-58.3858451843262,67.7143325805664,-55.5487823486328,-35.0307006835938,-66.1552352905273,-39.669002532959,-59.9175720214844,-57.906421661377,-58.6938896179199,64.8677062988281,-19.2794876098633,15.7453994750977,-17.94411277771
-298.728088378906,-89.9751892089844,-231.904006958008,-65.0997543334961,-213.246124267578,-139.827346801758,-118.111770629883,-73.5846252441406,-96.4146499633789,-127.267509460449,-115.854141235352,73.3521118164062,-93.4995651245117,-137.867538452148,-42.3975639343262,9.78396034240723,68.1188049316406,16.949047088623,-43.8638191223145,-46.1693649291992,-183.043319702148,-85.6892623901367,-186.867340087891,-183.652770996094,-195.441986083984,-109.883171081543,19.1271572113037,-149.232955932617,-74.5996627807617,13.713020324707,-60.8695755004883,-119.471351623535,171.906387329102,-149.377334594727,136.056671142578,2.60569787025452,46.0390090942383,-72.2976531982422
