Fp1_Col1,Fp1_Col2,Fp2_Col1,Fp2_Col2,F3_Col1,F3_Col2,F4_Col1,F4_Col2,C3_Col1,C3_Col2,C4_Col1,C4_Col2,P3_Col1,P3_Col2,P4_Col1,P4_Col2,O2_Col1,O2_Col2,F8_Col1,F8_Col2,T8_Col1,T8_Col2,Fz_Col1,Fz_Col2,Cz_Col1,Cz_Col2,Pz_Col1,Pz_Col2
136.957305908203,-282.231414794922,-105.101150512695,-296.146453857422,28.5933723449707,-223.39518737793,-84.8632583618164,-297.684387207031,14.8103723526001,-6.08687162399292,-153.042816162109,-236.727798461914,62.6907196044922,142.307586669922,-163.516494750977,-188.639038085938,-252.2548828125,-16.548246383667,-108.988838195801,-267.412963867188,-38.0469207763672,-213.897552490234,-17.1750583648682,-276.488861083984,-195.447143554688,-74.9709014892578,11.7674074172974,197.34846496582
114.511604309082,-230.403961181641,-76.1262130737305,-206.073959350586,6.66948938369751,-199.762542724609,-63.6391868591309,-201.662445068359,-5.49878311157227,-11.2842874526978,-166.531677246094,-196.44482421875,8.86627769470215,127.977478027344,-212.075012207031,-190.364028930664,-263.910583496094,-62.5575485229492,-98.5954971313477,-191.784683227539,-57.826358795166,-207.300140380859,-31.3691997528076,-257.318664550781,-214.473968505859,-51.1582336425781,-27.9299373626709,120.90225982666
95.4692230224609,-166.858520507812,-114.801208496094,-151.183227539062,8.89521026611328,-194.594009399414,-119.784065246582,-147.822448730469,-24.2982082366943,-58.4770584106445,-197.145202636719,-193.235229492188,-57.7614288330078,53.3980903625488,-247.096420288086,-164.989761352539,-271.21142578125,-115.697158813477,-160.823608398438,-135.554260253906,-79.087516784668,-182.54719543457,-55.0084915161133,-170.236618041992,-284.3994140625,4.96367216110229,-51.4590797424316,85.527946472168
45.2008399963379,-62.4572372436523,-186.33349609375,-124.202171325684,-25.0733394622803,-94.6486892700195,-178.986511230469,-147.774429321289,-37.7319412231445,-11.9514541625977,-210.907424926758,-146.437362670898,-108.769165039062,60.6804847717285,-238.586639404297,-127.321853637695,-189.923461914062,-156.567413330078,-210.55126953125,-154.409545898438,-72.3911285400391,-226.960800170898,-81.4343185424805,-21.6022720336914,-311.504699707031,72.3419189453125,-61.4924774169922,122.015213012695
-22.8340625762939,-22.4290542602539,-236.049835205078,-117.621398925781,-67.3033447265625,8.03790283203125,-171.172988891602,-129.023864746094,-45.7969207763672,1.23417091369629,-175.358001708984,-90.1808624267578,-112.097953796387,40.0780029296875,-196.445037841797,-102.059455871582,-143.543579101562,-116.196357727051,-248.711135864258,-198.366546630859,-68.3404922485352,-246.103927612305,-61.8679847717285,31.3736705780029,-242.430847167969,70.8296203613281,-43.5578765869141,104.448387145996
-80.4040145874023,-68.1752624511719,-280.520538330078,-121.084747314453,-67.079345703125,-13.4065971374512,-159.952789306641,-56.9748878479004,-30.0119228363037,-49.6837730407715,-126.996772766113,-96.590690612793,-54.1555862426758,-32.8414421081543,-159.184783935547,-67.6375274658203,-144.673629760742,-25.8683910369873,-282.795837402344,-167.464935302734,-76.9296188354492,-183.167526245117,-58.8546676635742,22.0486679077148,-191.338287353516,27.3902931213379,10.8806190490723,94.1376190185547
-102.748435974121,-67.5864868164062,-287.8916015625,-102.999504089355,-52.2696380615234,-52.9697647094727,-162.312408447266,-21.2434482574463,-10.5255451202393,-13.3882369995117,-118.838623046875,-122.574584960938,-15.6266803741455,-11.9663286209106,-144.809616088867,-55.7476043701172,-113.623512268066,14.6866388320923,-245.494140625,-81.0730972290039,-85.3030090332031,-138.671646118164,-120.704315185547,64.881233215332,-213.916320800781,-17.0900993347168,36.4792747497559,140.55908203125
-95.8337707519531,-49.5771484375,-248.704238891602,-81.1380996704102,-63.9198150634766,-39.4589347839355,-190.966094970703,-50.578498840332,-38.0833854675293,29.361873626709,-165.252014160156,-152.511123657227,-47.126594543457,31.6629219055176,-167.774749755859,-89.0389709472656,-95.6610260009766,-6.10161876678467,-198.603576660156,-18.6519470214844,-88.9827728271484,-133.169662475586,-208.816528320312,120.127967834473,-252.366806030273,-62.2640228271484,-6.96468019485474,140.185729980469
-160.457962036133,-34.7170372009277,-268.010192871094,-56.1615905761719,-145.315155029297,10.2328853607178,-282.852386474609,-69.5749359130859,-102.393798828125,10.6772079467773,-246.071640014648,-187.938140869141,-67.7264938354492,17.537073135376,-203.32048034668,-125.388648986816,-69.057373046875,-58.4942436218262,-239.908309936523,-18.2689170837402,-98.6385040283203,-134.616744995117,-287.494171142578,168.576431274414,-233.799133300781,-76.5314254760742,2.11318349838257,102.14722442627
-270.748168945312,43.4427375793457,-327.604736328125,-19.670036315918,-233.097259521484,80.3632125854492,-346.714813232422,-70.2187347412109,-90.6634979248047,52.4538650512695,-283.490692138672,-162.943450927734,21.5965137481689,48.7517547607422,-200.949478149414,-146.487747192383,-15.3139057159424,-100.668830871582,-292.259246826172,-80.0083847045898,-149.639190673828,-157.44172668457,-304.852416992188,197.73664855957,-145.527450561523,-27.2134780883789,130.813079833984,80.838737487793
-282.231414794922,53.0471839904785,-296.146453857422,-41.4986686706543,-223.39518737793,75.2569122314453,-297.684387207031,-81.581169128418,-6.08687162399292,93.5833511352539,-236.727798461914,-92.3653793334961,142.307586669922,94.8243255615234,-188.639038085938,-134.536636352539,-16.548246383667,-121.875274658203,-267.412963867188,-133.424789428711,-213.897552490234,-154.313812255859,-276.488861083984,142.288955688477,-74.9709014892578,54.063606262207,197.34846496582,55.5294799804688
