Fp2_Col1,Fp2_Col2,F3_Col1,F3_Col2,F4_Col1,F4_Col2,C4_Col1,C4_Col2,P3_Col1,P3_Col2,P4_Col1,P4_Col2,O1_Col1,O1_Col2,O2_Col1,O2_Col2,F7_Col1,F7_Col2,F8_Col1,F8_Col2,Fz_Col1,Fz_Col2
69.310546875,8.93992614746094,29.3348083496094,-21.6465511322021,91.0105972290039,64.5816497802734,88.330436706543,9.75278472900391,-182.072219848633,-94.0713043212891,-50.1935348510742,-2.20533227920532,-245.753555297852,52.1735954284668,-99.5620193481445,9.85346603393555,56.6639137268066,-43.3440246582031,-96.0934524536133,-198.8955078125,133.366348266602,-22.5441646575928
-0.622804045677185,108.426681518555,28.4025440216064,-26.1192169189453,37.4194297790527,52.2216873168945,121.111968994141,-85.9247817993164,-126.694976806641,-46.0925483703613,1.0388503074646,27.6985454559326,-182.79328918457,166.668106079102,-59.9026374816895,117.19734954834,8.95884990692139,-39.5098342895508,-109.019561767578,-184.243057250977,98.6520309448242,-47.3764762878418
-74.8627853393555,130.24885559082,-10.5236673355103,-15.4796504974365,44.5466728210449,-2.75993156433105,148.994552612305,-160.90022277832,-57.2946166992188,-4.67405033111572,59.6616020202637,59.6669616699219,-98.1254501342773,274.541198730469,9.05995178222656,174.984313964844,0.435849845409393,-69.0546112060547,-75.2917938232422,-171.542694091797,55.7826042175293,-58.1500244140625
-67.6930160522461,70.0901565551758,-31.6565723419189,-17.8426914215088,86.0549621582031,-51.3290824890137,127.004325866699,-189.827209472656,-39.9732818603516,15.5037279129028,69.0888900756836,88.2294845581055,-55.4941329956055,300.111877441406,41.2638702392578,222.04216003418,13.8210067749023,-87.5769195556641,-78.0403060913086,-222.677047729492,-14.027587890625,-33.3048057556152
-23.8820552825928,21.6040630340576,-44.5241928100586,21.4706840515137,54.3294410705566,-36.3302879333496,83.3647918701172,-155.688659667969,-44.8711471557617,23.4674968719482,45.1067276000977,136.694793701172,-32.105224609375,243.732315063477,52.2803535461426,260.356689453125,31.1513519287109,-25.3949699401855,-127.234390258789,-287.877899169922,-86.7830123901367,9.60155391693115
35.6929321289062,-25.478609085083,-43.1415023803711,54.4753913879395,12.0368785858154,-48.1073188781738,85.5791625976562,-103.576713562012,-22.9032135009766,18.9696464538574,-3.88195109367371,154.931442260742,4.54631757736206,166.00830078125,0.546293199062347,272.60986328125,30.1460037231445,34.6815567016602,-126.100875854492,-293.287628173828,-92.9880828857422,-14.7339677810669
63.0206298828125,-48.147891998291,-41.3386116027832,43.3970184326172,12.7798748016357,-99.2943496704102,91.6121978759766,-115.372955322266,-15.8458433151245,-4.9135217666626,-77.1241455078125,119.861801147461,21.1282978057861,97.3966827392578,-103.651885986328,259.498748779297,-15.5403900146484,30.0092449188232,-85.2711563110352,-198.819747924805,-66.5773544311523,-42.5758895874023
19.7630825042725,11.5389089584351,-59.132266998291,74.6127700805664,16.6362209320068,-85.8696365356445,70.6938934326172,-144.032501220703,-62.4837837219238,-28.6186676025391,-109.367546081543,88.9723281860352,-15.1508760452271,75.415901184082,-164.333114624023,232.137451171875,-51.8087959289551,7.83088397979736,-60.6932640075684,-111.655067443848,-35.4320526123047,6.03439664840698
-33.5468444824219,68.5083312988281,-40.2399406433105,75.6977386474609,32.5044021606445,-52.6901779174805,69.957893371582,-101.108779907227,-114.341674804688,-20.369213104248,-65.1662445068359,63.692138671875,-53.0321426391602,80.973747253418,-166.531280517578,192.52165222168,-42.0604209899902,-42.0612030029297,-68.5370712280273,-133.757141113281,10.5707025527954,14.1360635757446
-46.8028259277344,72.3142471313477,-7.13732099533081,-23.9458065032959,57.046875,-55.6814498901367,69.8413848876953,-42.5103874206543,-123.415161132812,35.338981628418,-18.9878997802734,48.9278030395508,-28.5101280212402,52.9349250793457,-110.367164611816,157.906387329102,-38.6963424682617,-108.096176147461,-135.729583740234,-148.582138061523,15.4180564880371,-59.5867309570312
