Fp1_Col1,Fp1_Col2,Fp2_Col1,Fp2_Col2,F3_Col1,F3_Col2,F4_Col1,F4_Col2,C3_Col1,C3_Col2,C4_Col1,C4_Col2,P3_Col1,P3_Col2,P4_Col1,P4_Col2,O1_Col1,O1_Col2,O2_Col1,O2_Col2,F7_Col1,F7_Col2,F8_Col1,F8_Col2,T7_Col1,T7_Col2,T8_Col1,T8_Col2,P7_Col1,P7_Col2,P8_Col1,P8_Col2,Fz_Col1,Fz_Col2,Pz_Col1,Pz_Col2
-68.7159881591797,179.992599487305,-90.5411834716797,-45.9691696166992,-59.7756538391113,221.098693847656,-81.3964309692383,-91.3688888549805,4.08856534957886,222.227722167969,-51.7521362304688,-54.7887573242188,116.004096984863,229.631164550781,-34.0109672546387,25.6974315643311,125.068305969238,242.78288269043,-11.0537490844727,19.0217456817627,-33.6688613891602,209.176666259766,-37.5735397338867,-104.164360046387,26.8926429748535,198.097045898438,-44.7602119445801,-33.7814674377441,88.7187576293945,205.461776733398,-39.9118270874023,-24.329833984375,-38.2413063049316,252.50146484375,80.3244552612305,328.083282470703
35.6921615600586,149.521102905273,-50.8108825683594,-8.36643505096436,65.5504379272461,257.362243652344,-52.592830657959,3.47532820701599,118.267692565918,267.935699462891,-7.84513235092163,87.6703643798828,165.715881347656,232.963668823242,6.67116022109985,135.223709106445,176.701187133789,256.506683349609,11.8133487701416,122.269226074219,98.4906768798828,196.025375366211,-52.8625564575195,-17.1974449157715,127.741340637207,165.311126708984,-14.5597829818726,83.814697265625,175.239639282227,186.879119873047,34.6980209350586,89.9686279296875,40.2014923095703,258.68603515625,116.821350097656,368.607025146484
147.677520751953,150.040069580078,-55.8140182495117,-0.850499749183655,168.18962097168,258.357421875,-76.5699081420898,41.3634147644043,162.711181640625,286.632629394531,-45.1468544006348,144.441375732422,168.58366394043,227.040832519531,-60.1608276367188,182.912887573242,153.169464111328,264.522430419922,-44.6091499328613,126.988487243652,183.53727722168,161.099853515625,-87.1315460205078,29.3390064239502,203.783660888672,120.781181335449,-59.0091285705566,114.858825683594,195.346176147461,146.955932617188,1.10836160182953,116.90811920166,116.47981262207,253.765274047852,118.641654968262,334.194213867188
206.32780456543,161.895858764648,-99.6538314819336,-19.1831493377686,191.746932983398,231.315628051758,-105.865028381348,42.5319519042969,163.437347412109,283.732574462891,-122.557464599609,110.10612487793,135.918304443359,208.008758544922,-144.077972412109,140.770248413086,90.2917938232422,279.908721923828,-99.2761840820312,49.8114395141602,182.128494262695,151.039169311523,-88.6463012695312,23.4506092071533,194.066146850586,112.361679077148,-91.4354095458984,70.6210403442383,156.643676757812,141.011032104492,-38.5299110412598,56.5982627868652,149.751754760742,271.39697265625,103.886016845703,276.793365478516
205.00080871582,195.84391784668,-116.333610534668,43.3531951904297,174.642074584961,223.59033203125,-99.1542129516602,64.1164245605469,141.050201416016,290.722686767578,-152.871704101562,59.3559532165527,107.964157104492,231.006790161133,-153.369552612305,76.8900756835938,111.029342651367,267.119110107422,-95.601806640625,22.1715221405029,156.915374755859,186.78108215332,-91.9081420898438,25.1969871520996,152.380020141602,168.552947998047,-89.3061752319336,44.8642463684082,157.677581787109,187.125152587891,-17.5199604034424,11.9522495269775,134.417633056641,305.737762451172,101.479911804199,259.552276611328
196.861114501953,207.763854980469,-103.745712280273,155.479339599609,166.853149414062,239.088043212891,-111.151420593262,109.499198913574,129.346435546875,316.220855712891,-178.64338684082,69.6459197998047,144.168350219727,282.392974853516,-170.873275756836,109.30396270752,181.800827026367,230.376220703125,-121.596939086914,88.5367965698242,187.590545654297,194.431213378906,-105.221717834473,55.121826171875,182.367034912109,221.489334106445,-121.199890136719,74.4700775146484,207.283248901367,233.389053344727,-56.9076232910156,58.4218597412109,134.110122680664,340.305969238281,83.5598220825195,263.883728027344
194.986907958984,203.078079223633,-83.5844497680664,209.644073486328,165.000564575195,279.38525390625,-139.808868408203,182.253707885742,137.428161621094,326.51171875,-219.083984375,144.596893310547,171.75846862793,294.866180419922,-202.949935913086,188.146148681641,181.477813720703,226.986480712891,-153.544158935547,141.932006835938,229.710708618164,205.239669799805,-113.600746154785,110.724662780762,221.780639648438,251.203643798828,-176.790542602539,143.835571289062,228.728515625,263.746154785156,-151.087127685547,131.761032104492,139.277908325195,377.921356201172,63.7761573791504,247.925003051758
189.652969360352,223.047805786133,-60.6545486450195,229.463333129883,175.008422851562,335.835906982422,-126.508110046387,239.332122802734,134.132232666016,324.522155761719,-204.608947753906,187.12158203125,151.518524169922,299.07421875,-177.704849243164,161.989486694336,152.12060546875,250.739883422852,-125.478569030762,111.048156738281,240.332046508789,256.702514648438,-130.385314941406,154.50959777832,219.527389526367,284.939056396484,-181.132705688477,165.568756103516,218.5166015625,286.429901123047,-167.090194702148,118.061637878418,126.145088195801,411.893402099609,106.343879699707,207.293609619141
212.822784423828,209.711395263672,-45.7547721862793,226.950012207031,192.514389038086,350.570678710938,-118.979476928711,214.3818359375,128.756149291992,332.702209472656,-174.719833374023,155.770080566406,164.604675292969,297.031921386719,-129.880828857422,64.1568222045898,166.984481811523,234.642150878906,-97.7455291748047,35.4710731506348,241.41227722168,254.714248657227,-152.253936767578,127.710601806641,221.812164306641,291.284118652344,-151.041793823242,102.521911621094,208.768753051758,269.999633789062,-135.843353271484,64.0215530395508,142.387466430664,408.505554199219,185.342025756836,162.993209838867
223.592788696289,178.504806518555,-51.3309364318848,167.296905517578,199.732971191406,316.711944580078,-138.533996582031,152.296478271484,162.901458740234,341.889831542969,-154.822662353516,107.787643432617,211.163986206055,239.669403076172,-74.98828125,20.671558380127,207.569442749023,182.362915039062,-72.2023391723633,-22.6767196655273,227.357009887695,214.534805297852,-154.021453857422,89.6662445068359,220.603118896484,273.870361328125,-120.348693847656,68.8945007324219,205.24528503418,227.488311767578,-110.014892578125,53.4667625427246,203.415161132812,365.721710205078,255.688980102539,148.283172607422
